UT,英文姓名,中文姓名,作者顺序
000880072700003,Chen, Hao,,4
000456758300009,Feng, Mei-qin,冯美琴,3
000445993000051,Li, J. E.,李金娥,4
000429365800038,Zhang Xiaojuan,张小娟,1
000429365800038,Hao Lingyun,郝凌云,3
000429365800038,Lin Qing,林青,4
000429365800038,Tian Xiangping,,5
000429365800038,Zhang Zhiying,,6
000429365800038,Wang Hehe,,8
000385023100015,Lin, Qing,林青,2
001700758700001,Xie, Li,谢丽,5
001639634900001,Ding, Suchuan,丁苏川,1
001095310200064,Zhang, Yan,张燕,5
000766635400028,Yan, Hao,阎浩,2
000542681500014,Song, Yong-sheng,宋永生,1
000542681500014,Xuan, Wei-hong,宣卫红,4
000542681500014,Chen, Yu-zhi,陈育志,5
000419239400050,Lin, Qing,林青,4
001512994500006,Wang, Yuanyuan,汪园园,1
001512994500006,Zhang, Yin,,2
001512994500006,Hu, Xuemin,胡学敏,3
001512994500006,Guan, Hangmin,管航敏,4
001512994500006,Hu, Yingfei,胡颖飞,5
001512994500006,Ye, Yuanfeng,叶原丰,6
001512994500006,Zhang, Yuxin,,7
001326280100001,Wang, Yizhi,王逸之,1
001326280100001,Zhang, Yusen,,3
001326280100001,Wang, Bing,,4
000859130000023,Fan, J. J.,范俊俊,2
000859130000023,Ma, J. Z.,,8
000769725100001,Li, Enkang,李恩康,1
000745770500003,Liu, Zhen,刘震,1
000745770500003,Wang, Ruixue,王瑞雪,2
000428937900003,Wang, Qian,王茜,3
000414244100001,Fang, Xuming,方旭明,1
001647447000001,Wang, Chao,王超,1
001647447000001,Wu, Hao,,2
001516145000001,Zhang, Yan,张燕,1
001516145000001,Wang, Anxiang,,2
001516145000001,Zhang, Chaolong,张朝龙,3
001516145000001,Cheng, Kaixin,,6
001516145000001,Zhou, Yujie,,7
001349960400001,Deng, Kai-Dong,邓凯东,9
001259246300001,Li, Yun-Fei,,2
001229829300005,Wang, Jiachun,王佳春,1
001147953900001,Jia, Zhichao,贾志超,1
001147953900001,Sun, Luanhong,孙孪鸿,2
001147953900001,Chen, Xiang,陈祥,3
001147953900001,Li, Xinhua,李新华,4
001147953900001,Hao, Lingyun,郝凌云,6
